sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Myrciaria floribunda,Myrciaria,MYRTACEAE,0,2,3,0,2,0,1,1,1,5,1,2,0.674622504,0.073550901,0.14661471,0.018022406,TropicalHumid,TropicalHumid,
Myriocarpa obovata,Myriocarpa,URTICACEAE,1,2,1,0,2,1,1,1,1,5,1,4,0.714285714,0.217391304,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Naucleopsis concinna,Naucleopsis,MORACEAE,1,2,3,0,2,1,0,1,1,5,2,3,0.977777778,0.0,0.022222222,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Nealchornea yapurensis,Nealchornea,EUPHORBIACEAE,1,2,1,0,2,1,0,1,1,4,1,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Nectandra ambigens,Nectandra,LAURACEAE,1,2,3,0,2,0,0,1,1,5,0,1,0.927835052,0.0,0.0,0.051546392,TropicalHumid,TropicalHumid,Tropical humid forest
Nectandra coriacea,Nectandra,LAURACEAE,1,2,3,0,2,2,0,1,1,5,2,3,0.763466042,0.107728337,0.0,0.06323185,TropicalHumid,TropicalHumid,Tropical dry forest
Nectandra globosa,Nectandra,LAURACEAE,0,2,3,0,2,1,0,1,1,5,1,2,0.871428571,0.00952381,0.080952381,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Nectandra leucantha,Nectandra,LAURACEAE,0,2,3,0,2,3,0,1,1,5,2,2,0.918032787,0.0,0.024590164,0.049180328,TropicalHumid,TropicalHumid,Tropical humid forest
Nectandra puberula,Nectandra,LAURACEAE,0,2,3,0,2,1,0,1,1,5,1,2,0.991803279,0.0,0.008196721,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Nectandra reticulata,Nectandra,LAURACEAE,1,2,3,0,2,2,0,1,1,5,1,2,0.947145877,0.014799154,0.012684989,0.0,TropicalHumid,TropicalHumid,
Nectandra salicifolia,Nectandra,LAURACEAE,1,2,3,0,2,2,0,1,1,5,1,2,0.625988701,0.153672316,0.0,0.06440678,TropicalHumid,TropicalHumid,
Nectandra sanguinea,Nectandra,LAURACEAE,1,2,3,0,2,2,0,1,1,5,1,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Neea amplifolia,Neea,NYCTAGINACEAE,0,2,3,1,2,2,0,1,1,5,1,2,0.946808511,0.021276596,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Neea divaricata,Neea,NYCTAGINACEAE,1,2,3,0,2,1,1,1,1,5,0,3,0.982817869,0.013745704,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Neea floribunda,Neea,NYCTAGINACEAE,1,2,1,0,2,1,1,1,1,5,0,2,0.979452055,0.0,0.01369863,0.006849315,TropicalHumid,TropicalHumid,Tropical humid forest
Neea madeirana,Neea,NYCTAGINACEAE,1,2,1,0,2,1,1,2,1,4,0,2,0.96969697,0.0,0.03030303,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Nepsera aquatica,Nepsera,MELASTOMATACEAE,1,2,3,0,2,0,1,2,1,5,0,1,0.79020979,0.003496503,0.045454545,0.073426573,TropicalHumid,TropicalHumid,
Nicotiana raimondii,Nicotiana,SOLANACEAE,1,2,3,0,2,0,1,1,1,5,1,5,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical montane
Ochthocosmus barrae,Ochthocosmus,IXONANTHACEAE,1,2,3,0,2,2,1,1,1,5,1,2,0.775510204,0.142857143,0.081632653,0.0,TropicalHumid,TropicalHumid,
Ocotea aciphylla,Ocotea,LAURACEAE,1,2,3,0,2,2,1,2,1,2,1,3,0.906556142,0.021853806,0.039939714,0.003014318,TropicalHumid,TropicalHumid,Tropical humid forest
